country,iso3,avg_phase4_pct,latest_date,phase4_num_latest,phase4_pct_latest,phase5_num_latest,phase5_pct_latest,previous_date,phase5_num_previous,phase4pl_scale,phase4pl_prev,phase5_incr,inform_cc,inform_risk,inform_severity,avg_phase4_pct_norm,phase4pl_scale_norm,phase4pl_prev_norm,phase5_incr_norm,inform_cc_norm,inform_risk_norm,inform_severity_norm,cerf_score,cerf_rank
Cameroon,CMR,0.008144920122438103,2023-06-01,206298,0.007587022204667333,0,0,2021-09-01,0,2.06298,0.007587022204667333,0,6.2,6.5,4,4.773811232633011,3.203828355755431,3.979607859263603,0,62.31884057971015,65.07936507936508,80.00000000000001,13.1246459068282,26
Namibia,NAM,0.02304473370904221,2021-12-01,118616,0.046511956195254854,0,0,2021-10-01,0,1.18616,0.046511956195254854,0,3.2,4,2.5,13.506726521503504,1.842118218529924,24.39683731391909,0,18.84057971014493,25.396825396825403,30,10.226358029000371,27
Madagascar,MDG,0.048009522530115166,2023-04-01,50131,0.008046608726247087,0,0,2021-11-01,0,0.50131,0.008046608726247087,0,5.2,5.3,NA,28.138814682323247,0.7785393910865618,4.220673996142084,0,47.826086956521735,46.03174603174604,0,9.897157677172142,28
Burundi,BDI,0.003565591501724719,2022-10-01,50637,0.004203903386185773,0,0,2021-06-01,0,0.50637,0.004203903386185773,0,5.1,6,3.5,2.089825376558642,0.7863976211615613,2.20506629662399,0,46.3768115942029,57.14285714285715,63.33333333333334,9.340762784019768,29
Mauritania,MRT,0.007375826093565202,2023-06-01,106132,0.024275177846121192,0,0,2021-09-01,0,1.06132,0.024275177846121192,0,4.6,4.9,2.7,4.323038277368545,1.6482404630827028,12.733017768422553,0,39.130434782608695,39.6825396825397,36.66666666666668,9.074098671846635,30
Eswatini,SWZ,0.031725047719973205,2022-10-01,37031,0.03152870499107292,0,0,2021-07-01,0,0.37031,0.03152870499107292,0,3.3,3.3,2.3,18.594336946805008,0.5750950946784718,16.537698030946906,0,20.289855072463766,14.285714285714286,23.33333333333333,8.424043173843668,31
Tanzania,TZA,0.013636629151641362,2023-03-01,0,0,0,0,2021-11-01,0,0,0,0,4.9,5.8,2.8,7.992551484945642,0,0,0,43.478260869565226,53.968253968253975,39.99999999999999,8.071208464632807,32
Djibouti,DJI,0.012603736018348279,2022-07-01,12390,0.010485116466033385,0,0,2020-10-01,0,0.1239,0.010485116466033385,0,4.4,4.8,2.7,7.387163492466714,0.19241792614475073,5.499740315489198,0,36.23188405797102,38.0952380952381,36.66666666666668,7.569313078952314,33
El Salvador,SLV,0.010335895633896313,2021-09-01,46735,0.007387966822361724,0,0,2021-07-01,0,0.46735,0.007387966822361724,0,4.3,4.3,3.1,6.057961764472992,0.7257991750100828,3.875197677972081,0,34.78260869565217,30.158730158730165,50.00000000000001,7.563650487840415,34
Malawi,MWI,0,2022-10-01,0,0,0,0,2021-11-01,0,0,0,0,4.5,4.6,3.3,0,0,0,0,37.68115942028985,34.920634920634924,56.666666666666664,6.463423050379573,35
Zambia,ZMB,0.011486864012275085,2022-10-01,0,0,0,0,2021-07-01,0,0,0,0,4.2,4.3,2.9,6.732554724319632,0,0,0,33.333333333333336,30.158730158730165,43.33333333333333,6.351153049917786,36
Senegal,SEN,9.232603788205949e-4,2023-06-01,86900,0.004754943403862076,0,0,2021-09-01,0,0.869,0.004754943403862076,0,4.5,4.2,2.4,0.5411312450955541,1.3495655998368719,2.494102380341307,0,37.68115942028985,28.57142857142858,26.666666666666664,5.708552296661377,37
Dominican Republic,DOM,0.009232495990844608,2023-03-01,53651,0.005050961510037057,0,0,2022-10-01,0,0.53651,0.005050961510037057,0,4.2,4.1,2.2,5.411249269948646,0.8332053394343845,2.6493722543497933,0,33.333333333333336,26.984126984126984,20.000000000000007,5.5999086472632555,38
Liberia,LBR,0.007454566312871515,2023-06-01,21354,0.004448954837295634,0,0,2021-01-01,0,0.21354,0.004448954837295634,0,5.3,4.7,NA,4.369188630930509,0.3316297332441491,2.3336027176932244,0,49.27536231884058,36.50793650793652,0,5.443817023592282,39
Timor-Leste,TLS,0.007444885782383155,2023-05-01,6904,0.005080262107381612,0,0,2022-11-01,0,0.06904,0.005080262107381612,0,4.5,4,NA,4.363514784595801,0.10721980323675216,2.6647412468646396,0,37.68115942028985,25.396825396825403,0,4.256386557031368,40
Côte d’Ivoire,CIV,7.636415118247832e-4,2023-06-01,36457,0.0017314600743553747,0,0,2021-09-01,0,0.36457,0.0017314600743553747,0,4.7,4.5,NA,0.4475771857861713,0.5661808178740257,0.9081998093622187,0,40.57971014492753,33.333333333333336,0,4.1538000912286135,41
Sierra Leone,SLE,0.001828289577841923,2023-06-01,19846,0.0026315995354191206,0,0,2021-09-01,0,0.19846,0.0026315995354191206,0,4.7,4.4,NA,1.07157703108266,0.3082103440087751,1.3803484306591107,0,40.57971014492753,31.74603174603176,0,4.122770568613179,42
Lesotho,LSO,0.012806404675396012,2022-10-01,0,0,0,0,2021-11-01,0,0,0,0,3,3.9,2.2,7.5059494224664185,0,0,0,15.942028985507248,23.809523809523814,20.000000000000007,4.1134700531215165,43
Togo,TGO,0.0013468881139354263,2023-06-01,39666,0.00654955859085915,0,0,2021-09-01,0,0.39666,0.00654955859085915,0,4.1,4.1,NA,0.789423286017461,0.6160169054445266,3.4354288335753433,0,31.88405797101449,26.984126984126984,0,3.8543446731460316,44
Guinea,GIN,1.1581439946325016e-4,2023-06-01,2508,2.1866339124948866e-4,0,0,2021-09-01,0,0.02508,2.1866339124948866e-4,0,4.4,4.6,NA,0.06787986533289807,0.03894948819782364,0.11469513688972426,0,36.23188405797102,34.920634920634924,0,3.6025394689527115,45
Gambia,GMB,0.001336401759230848,2023-06-01,19528,0.00798936279022195,0,0,2021-09-01,0,0.19528,0.00798936279022195,0,3.6,3.7,1.6,0.7832771388330114,0.3032717725387162,4.190646882635498,0,24.637681159420293,20.634920634920643,0,3.1461909905797456,46
Ghana,GHA,0.0031096760874667613,2023-06-01,27349,0.0019998628197502705,0,0,2021-09-01,0,0.27349,0.0019998628197502705,0,4,3.6,NA,1.8226092353322414,0.42473267652403457,1.0489846451261584,0,30.434782608695652,19.047619047619055,0,3.095988869320311,47
Guinea-Bissau,GNB,7.847398016948087e-4,2023-06-01,0,0,0,0,2021-09-01,0,0,0,0,4.1,3.8,NA,0.45994308399718115,0,0,0,31.88405797101449,22.222222222222225,0,2.774305472261413,48
Benin,BEN,4.144212156407278e-4,2023-06-01,0,0,0,0,2021-09-01,0,0,0,0,4.1,3.8,NA,0.2428960167229888,0,0,0,31.88405797101449,22.222222222222225,0,2.7417484121702844,49
Latin America and the Caribbean,LAC,0.012449512896242059,2021-11-01,3665,0.007111050747484938,0,0,2020-10-01,0,0.03665,0.007111050747484938,0,NA,NA,NA,7.296771927960858,0.05691781269737785,3.729947359967455,0,0,0,0,1.679620908903067,50
Cape Verde,CPV,0.0021529977586078556,2022-06-01,3089,0.006387140529497878,0,0,2019-09-01,0,0.03089,0.006387140529497878,0,1.9,2.4,NA,1.261891427954146,0.047972475695006865,3.350235963956212,0,0,0,0,0.7134067228493067,51
